Scenario_No,Run_No,TT_seg_len,Avg_TT,Avg_TT_CHGV,Max_TT,Max_TT_CHGV,std_TT,std_TT_21,Max_Queue_Len_ramp1,Avg_Queue_Len_ramp1,Std_Queue_ramp1,Max_Queue_Len_freln1,Avg_Queue_freln1,Std_Queue_freln1,Max_Queue_Len_ramp2,Avg_Queue_Len_ramp2,Std_Queue_ramp2,Max_Queue_Len_freln2,Avg_Queue_freln2,Std_Queue_freln2
Scenario66,3,5500.36,59.2945,58.9139,61.5685,64.6303,1.03179,2.01494,-1000,-1000,-1000,-1000,-1000,-1000,24.7044,0.44917,3.33114,168.917,6.04439,31.4065
Scenario66,4,5500.36,59.4065,59.6826,62.1156,63.0306,1.04079,1.82044,-1000,-1000,-1000,-1000,-1000,-1000,21.922,0.398582,2.95596,179.122,7.38964,32.6737
Scenario66,5,5500.36,59.4757,59.1197,61.8547,63.3963,0.981766,2.2436,-1000,-1000,-1000,-1000,-1000,-1000,22.3692,0.406713,3.01627,206.345,3.75173,27.8236
Scenario67,1,4000.49,43.5643,43.7859,48.9105,62.8486,1.44898,3.25089,-1000,-1000,-1000,-1000,-1000,-1000,350.486,34.5549,74.7834,223.317,43.2323,60.7312
Scenario67,2,4000.49,43.6358,43.919,50.6079,59.2186,1.38097,2.53895,-1000,-1000,-1000,-1000,-1000,-1000,241.464,37.7293,65.9809,321.24,49.7445,74.3395
Scenario67,3,4000.49,45.2671,45.2923,75.6361,77.7486,5.41881,5.96581,-1000,-1000,-1000,-1000,-1000,-1000,550.513,57.7123,102.044,603.466,91.1789,139.586
Scenario67,4,4000.49,44.6057,44.8049,53.934,67.9038,2.70526,4.0017,-1000,-1000,-1000,-1000,-1000,-1000,348.884,55.7577,87.9632,333.695,73.8027,100.187
Scenario67,5,4000.49,44.3652,45.3394,53.1228,67.4456,2.48249,4.74452,-1000,-1000,-1000,-1000,-1000,-1000,345.331,51.8724,88.6705,443.35,78.9475,119.743
Scenario68,1,5500.36,59.4571,59.4155,66.6249,69.5321,1.53588,2.35912,-1000,-1000,-1000,-1000,-1000,-1000,75.2604,2.69472,11.4275,328.87,16.3126,55.211
Scenario68,2,5500.36,59.2437,59.3219,61.223,62.8088,0.81139,1.50163,-1000,-1000,-1000,-1000,-1000,-1000,78.2771,2.36279,11.5155,77.7557,3.68466,15.838
Scenario68,3,5500.36,59.4237,59.5656,67.5401,67.7631,1.43575,1.8653,-1000,-1000,-1000,-1000,-1000,-1000,25.5222,1.69515,6.1344,329.518,17.2945,60.7833
Scenario68,4,5500.36,59.2903,59.389,61.8443,62.0697,0.950742,1.53233,-1000,-1000,-1000,-1000,-1000,-1000,176.996,3.61235,23.9908,151.899,8.83558,31.7293
Scenario68,5,5500.36,59.3939,59.5776,61.0216,63.3959,0.705598,1.45968,-1000,-1000,-1000,-1000,-1000,-1000,77.3167,3.1222,12.6817,387.306,11.818,55.4101
Scenario69,1,4000.49,43.9349,44.381,49.5881,50.8616,1.74803,2.41789,-1000,-1000,-1000,-1000,-1000,-1000,214.653,43.5156,65.6233,303.668,62.8698,84.6628
Scenario69,2,4000.49,44.0669,44.5178,56.8291,62.8547,2.39873,3.32938,-1000,-1000,-1000,-1000,-1000,-1000,242.193,37.4014,65.3394,566.792,81.7046,123.255
Scenario69,3,4000.49,44.3406,44.6787,53.1977,54.0244,2.32271,2.77941,-1000,-1000,-1000,-1000,-1000,-1000,342.696,67.1861,94.3018,347.483,84.1692,103.139
Scenario69,4,4000.49,43.6147,43.7769,51.5397,53.9125,1.57005,2.12857,-1000,-1000,-1000,-1000,-1000,-1000,325.077,44.6486,76.2669,376.441,50.3443,76.1937
Scenario69,5,4000.49,44.0637,44.3883,49.0628,51.9442,1.76609,2.28288,-1000,-1000,-1000,-1000,-1000,-1000,329.252,53.9808,83.3363,293.792,73.7762,91.5786
Scenario70,1,5500.36,59.1225,59.3148,60.9334,62.3967,0.926196,1.53126,-1000,-1000,-1000,-1000,-1000,-1000,182.287,7.15775,32.5945,80.1527,5.09453,17.6714
Scenario70,2,5500.36,59.338,59.5884,64.4876,65.8238,1.07006,1.38261,-1000,-1000,-1000,-1000,-1000,-1000,124.085,4.16579,19.9022,191.751,6.28358,28.4719
Scenario70,3,5500.36,59.6177,59.8847,67.3587,69.0793,1.79052,2.28661,-1000,-1000,-1000,-1000,-1000,-1000,36.5639,2.6785,7.93884,511.971,27.403,88.7842
Scenario70,4,5500.36,59.2414,59.465,62.4181,71.2704,1.06526,2.19028,-1000,-1000,-1000,-1000,-1000,-1000,301.047,14.2765,57.2497,266.888,8.55153,39.3347
Scenario70,5,5500.36,59.2715,59.5227,62.0373,63.7041,0.838267,1.32206,-1000,-1000,-1000,-1000,-1000,-1000,139.529,4.2521,19.6146,108.999,7.22198,24.3688
Scenario71,1,4000.49,43.5537,0,47.3473,0,1.14453,0,-1000,-1000,-1000,-1000,-1000,-1000,213.735,17.2764,41.0177,218.864,27.8511,54.2343
Scenario71,2,4000.49,44.0301,0,58.9131,0,2.54336,0,-1000,-1000,-1000,-1000,-1000,-1000,171.028,21.6762,45.2734,488.074,54.6971,105.443
Scenario71,3,4000.49,43.6988,0,50.1892,0,1.30511,0,-1000,-1000,-1000,-1000,-1000,-1000,253.184,20.1253,52.241,302.551,36.8521,71.0279
Scenario71,4,4000.49,44.5044,0,56.2046,0,2.94342,0,-1000,-1000,-1000,-1000,-1000,-1000,199.377,26.6508,50.3132,348.103,61.2489,93.0644
Scenario71,5,4000.49,44.2322,0,50.9595,0,1.7202,0,-1000,-1000,-1000,-1000,-1000,-1000,239.786,39.5793,66.136,303.155,63.5614,82.281
Scenario72,1,5500.36,59.4996,0,67.1726,0,1.44324,0,-1000,-1000,-1000,-1000,-1000,-1000,25.4501,0.462729,3.43169,264.238,6.20102,36.9203
Scenario72,2,5500.36,59.5547,0,66.1632,0,1.22006,0,-1000,-1000,-1000,-1000,-1000,-1000,25.2381,1.1436,4.85754,237.816,11.1484,39.95
Scenario72,3,5500.36,59.2669,0,61.1119,0,0.88577,0,-1000,-1000,-1000,-1000,-1000,-1000,25.4985,0.46361,3.43822,189.71,3.44928,25.5805
Scenario72,4,5500.36,59.459,0,62.1877,0,0.988281,0,-1000,-1000,-1000,-1000,-1000,-1000,24.9305,0.453282,3.36163,150.616,4.13541,22.6273
Scenario72,5,5500.36,59.5694,0,61.9149,0,0.878801,0,-1000,-1000,-1000,-1000,-1000,-1000,45.5115,0.827482,6.13677,113.135,4.82486,20.6866
