Scenario_No,Run_No,dc_Avg_spd,dc_min_spd,pos,lane
Scenario2,4,62.9542,57.4992,500,1
Scenario2,4,63.2972,60.9179,500,2
Scenario2,4,58.9004,37.3829,1000,1
Scenario2,4,59.9039,40.7182,1000,2
Scenario2,4,60.2904,49.348,1500,1
Scenario2,4,60.0116,45.0441,1500,2
Scenario2,4,60.8553,51.6738,2000,1
Scenario2,4,60.6054,48.2092,2000,2
Scenario2,4,61.6254,55.7835,2500,1
Scenario2,4,61.7158,54.1035,2500,2
Scenario2,4,60.9106,49.1981,3000,1
Scenario2,4,61.0747,49.3007,3000,2
Scenario2,4,56.2152,34.9861,3500,1
Scenario2,4,56.8381,28.9496,3500,2
Scenario2,4,57.4101,43.2772,4000,1
Scenario2,4,56.9019,42.6478,4000,2
Scenario2,4,59.2212,46.8469,4500,1
Scenario2,4,57.8963,46.33,4500,2
Scenario2,5,64.1531,61.8579,0,1
Scenario2,5,64.0617,61.691,0,2
Scenario2,5,63.0758,60.2582,500,1
Scenario2,5,63.316,60.7237,500,2
Scenario2,5,59.7758,48.4227,1000,1
Scenario2,5,60.7522,54.5451,1000,2
Scenario2,5,60.7962,54.1774,1500,1
Scenario2,5,60.3064,53.5665,1500,2
Scenario2,5,61.1408,55.7485,2000,1
Scenario2,5,60.6211,54.3886,2000,2
Scenario2,5,61.7265,57.824,2500,1
Scenario2,5,61.4907,53.447,2500,2
Scenario2,5,61.8619,57.7975,3000,1
Scenario2,5,61.6502,56.4385,3000,2
Scenario2,5,57.4138,42.7463,3500,1
Scenario2,5,58.6812,35.9767,3500,2
Scenario2,5,57.5992,35.7693,4000,1
Scenario2,5,57.799,36.5632,4000,2
Scenario2,5,58.8475,41.496,4500,1
Scenario2,5,58.4187,42.9642,4500,2
Scenario3,1,64.2472,62.0483,0,1
Scenario3,1,64.1696,62.1266,0,2
Scenario3,1,63.3338,60.7449,500,1
Scenario3,1,63.4455,61.5109,500,2
Scenario3,1,60.9607,52.0388,1000,1
Scenario3,1,62.0812,55.2917,1000,2
Scenario3,1,56.499,23.9709,1500,1
Scenario3,1,60.9205,28.8472,1500,2
Scenario3,1,57.7043,34.376,2000,1
Scenario3,1,58.0317,34.1677,2000,2
Scenario3,1,57.9883,43.8858,2500,1
Scenario3,1,57.1252,42.4615,2500,2
Scenario3,2,64.0594,61.4285,0,1
Scenario3,2,63.8873,61.6817,0,2
Scenario3,2,63.2575,61.4091,500,1
Scenario3,2,63.173,61.4254,500,2
Scenario3,2,60.7792,52.9471,1000,1
Scenario3,2,62.0235,56.0593,1000,2
Scenario3,2,57.2897,47.7941,1500,1
Scenario3,2,61.1558,54.7594,1500,2
Scenario3,2,58.5336,45.3167,2000,1
Scenario3,2,58.1816,44.0406,2000,2
Scenario3,2,58.9626,46.8713,2500,1
Scenario3,2,58.0944,37.1597,2500,2
Scenario3,3,64.1362,61.3871,0,1
Scenario3,3,64.1941,61.0865,0,2
Scenario3,3,63.2919,61.0866,500,1
Scenario3,3,63.4652,60.9914,500,2
Scenario3,3,60.6999,54.6361,1000,1
Scenario3,3,62.2934,57.8841,1000,2
Scenario3,3,56.9229,35.6114,1500,1
Scenario3,3,60.894,38.5137,1500,2
Scenario3,3,57.048,36.1555,2000,1
Scenario3,3,56.8559,32.4681,2000,2
Scenario3,3,57.1176,38.5155,2500,1
Scenario3,3,56.4492,39.7755,2500,2
Scenario3,4,64.3309,61.8088,0,1
Scenario3,4,64.3622,62.1769,0,2
Scenario3,4,63.116,59.6585,500,1
Scenario3,4,63.5198,61.3549,500,2
Scenario3,4,59.6364,48.5118,1000,1
Scenario3,4,61.7328,55.9054,1000,2
Scenario3,4,55.1847,33.2814,1500,1
Scenario3,4,59.8269,37.4303,1500,2
Scenario3,4,55.5737,35.7799,2000,1
Scenario3,4,56.006,35.3455,2000,2
Scenario3,4,56.6618,41.1328,2500,1
Scenario3,4,56.09,40.2873,2500,2
Scenario3,5,64.1037,61.8936,0,1
Scenario3,5,64.1408,61.9319,0,2
Scenario3,5,63.1801,61.2189,500,1
Scenario3,5,63.3325,61.3958,500,2
Scenario3,5,60.0885,53.1508,1000,1
Scenario3,5,61.8785,55.7081,1000,2
Scenario3,5,56.0211,35.3864,1500,1
Scenario3,5,59.7281,28.2587,1500,2
Scenario3,5,56.4885,30.7569,2000,1
Scenario3,5,56.5972,31.8128,2000,2
Scenario3,5,57.5504,40.8973,2500,1
Scenario3,5,57.0633,40.291,2500,2
Scenario4,1,64.2472,62.0537,0,1
Scenario4,1,64.1729,62.1385,0,2
Scenario4,1,63.2938,60.9,500,1
Scenario4,1,63.3738,61.0661,500,2
Scenario4,1,60.3204,51.1298,1000,1
Scenario4,1,61.4053,51.5871,1000,2
Scenario4,1,60.7837,53.3988,1500,1
Scenario4,1,60.6602,50.0312,1500,2
Scenario4,1,61.104,47.919,2000,1
Scenario4,1,60.4542,45.8899,2000,2
Scenario4,1,61.6243,50.9329,2500,1
Scenario4,1,61.2338,48.0428,2500,2
Scenario4,1,61.3443,52.7174,3000,1
Scenario4,1,61.2243,50.2342,3000,2
Scenario4,1,57.1749,35.0057,3500,1
Scenario4,1,58.2598,29.6413,3500,2
Scenario4,1,57.9964,38.9461,4000,1
Scenario4,1,57.5746,36.0741,4000,2
Scenario4,1,59.3303,47.8702,4500,1
Scenario4,1,58.5472,43.2053,4500,2
Scenario4,2,64.0614,61.4435,0,1
Scenario4,2,63.8847,61.691,0,2
Scenario4,2,63.2212,61.2813,500,1
Scenario4,2,63.1312,61.3957,500,2
Scenario4,2,59.8952,45.2007,1000,1
Scenario4,2,60.8647,51.6691,1000,2
Scenario4,2,60.6846,55.2318,1500,1
Scenario4,2,60.4992,52.2299,1500,2
Scenario4,2,60.9637,52.5854,2000,1
Scenario4,2,60.6447,51.4081,2000,2
Scenario4,2,61.6761,57.6061,2500,1
Scenario4,2,61.7307,56.9375,2500,2
Scenario4,2,61.8522,58.3161,3000,1
Scenario4,2,61.7733,56.9039,3000,2
Scenario4,2,57.5883,47.6185,3500,1
Scenario4,2,58.7354,49.9144,3500,2
Scenario4,2,58.1384,48.4155,4000,1
Scenario4,2,57.9459,46.6772,4000,2
Scenario4,2,59.3941,47.9333,4500,1
Scenario4,2,59.0642,47.4305,4500,2
Scenario4,3,64.1355,61.3886,0,1
Scenario4,3,64.1911,61.0926,0,2
Scenario4,3,63.2443,60.7004,500,1
Scenario4,3,63.4493,60.928,500,2
Scenario4,3,59.9065,49.6675,1000,1
Scenario4,3,61.2145,56.392,1000,2
Scenario4,3,60.3142,52.6768,1500,1
Scenario4,3,60.3398,52.9854,1500,2
Scenario4,3,60.5492,52.8803,2000,1
Scenario4,3,59.9491,49.1224,2000,2
Scenario4,3,61.3836,56.3339,2500,1
Scenario4,3,60.9027,50.4975,2500,2
Scenario4,3,61.2647,55.8987,3000,1
Scenario4,3,61.2713,53.1487,3000,2
Scenario4,3,55.5699,37.7116,3500,1
Scenario4,3,56.902,32.7225,3500,2
Scenario4,3,56.5928,37.05,4000,1
Scenario4,3,56.3217,37.1054,4000,2
Scenario4,3,58.0472,43.2996,4500,1
Scenario4,3,57.6874,36.088,4500,2
Scenario4,4,64.3267,61.8062,0,1
Scenario4,4,64.3595,62.1782,0,2
Scenario4,4,62.8886,58.1484,500,1
Scenario4,4,63.2136,60.7382,500,2
Scenario4,4,58.2007,35.2288,1000,1
Scenario4,4,59.3244,40.1183,1000,2
Scenario4,4,59.8031,44.7239,1500,1
Scenario4,4,59.8343,46.522,1500,2
Scenario4,4,60.8623,51.2051,2000,1
Scenario4,4,60.4554,50.8361,2000,2
Scenario4,4,61.5957,54.3007,2500,1
Scenario4,4,61.5598,55.4552,2500,2
Scenario4,4,60.4212,47.9665,3000,1
Scenario4,4,61.1541,52.2172,3000,2
Scenario4,4,55.26,28.0689,3500,1
Scenario4,4,55.749,24.4974,3500,2
Scenario4,4,56.6612,40.5595,4000,1
Scenario4,4,55.9499,36.1097,4000,2
Scenario4,4,58.3543,47.4314,4500,1
Scenario4,4,57.3887,42.4827,4500,2
Scenario4,5,64.1038,61.8946,0,1
Scenario4,5,64.1378,61.8948,0,2
Scenario4,5,63.1144,61.2008,500,1
Scenario4,5,63.2923,61.38,500,2
Scenario4,5,59.4244,47.0156,1000,1
Scenario4,5,60.8665,54.6238,1000,2
Scenario4,5,60.3497,54.1774,1500,1
Scenario4,5,60.4112,54.1298,1500,2
Scenario4,5,60.934,55.847,2000,1
Scenario4,5,60.3592,52.6954,2000,2
Scenario4,5,61.458,54.6797,2500,1
Scenario4,5,61.4963,53.485,2500,2
Scenario4,5,61.4756,55.3066,3000,1
Scenario4,5,61.89,55.0029,3000,2
Scenario4,5,56.8485,38.62,3500,1
Scenario4,5,58.7189,43.843,3500,2
Scenario4,5,57.9777,44.9034,4000,1
Scenario4,5,58.0384,48.6183,4000,2
Scenario4,5,59.5877,49.9514,4500,1
Scenario4,5,59.1776,46.8942,4500,2
Scenario5,1,64.2646,62.1145,0,1
Scenario5,1,64.328,61.7027,0,2
Scenario5,1,63.2856,60.9008,500,1
Scenario5,1,63.4891,59.5442,500,2
Scenario5,1,60.5224,50.4187,1000,1
Scenario5,1,62.3389,57.4026,1000,2
Scenario5,1,56.8694,40.4235,1500,1
Scenario5,1,61.3215,36.2425,1500,2
Scenario5,1,57.7072,34.6035,2000,1
Scenario5,1,58.178,33.9179,2000,2
Scenario5,1,58.0634,41.2921,2500,1
Scenario5,1,57.63,42.1967,2500,2
Scenario5,2,64.1124,61.1122,0,1
Scenario5,2,64.0476,62.2837,0,2
Scenario5,2,63.2346,59.7791,500,1
Scenario5,2,63.0059,60.3483,500,2
Scenario5,2,60.5271,52.5741,1000,1
Scenario5,2,61.5998,53.8304,1000,2
Scenario5,2,56.5663,45.2468,1500,1
Scenario5,2,60.6019,49.8895,1500,2
Scenario5,2,57.6071,46.1114,2000,1
Scenario5,2,57.576,45.537,2000,2
Scenario5,2,58.3547,43.725,2500,1
Scenario5,2,57.8236,43.3275,2500,2
Scenario5,3,64.1917,61.1784,0,1
Scenario5,3,64.3799,62.2211,0,2
Scenario5,3,63.2162,60.8191,500,1
Scenario5,3,63.3746,61.0802,500,2
Scenario5,3,60.1183,52.3784,1000,1
Scenario5,3,61.673,56.4631,1000,2
Scenario5,3,56.2846,41.4195,1500,1
Scenario5,3,60.7009,52.6125,1500,2
Scenario5,3,56.8491,38.0091,2000,1
Scenario5,3,57.203,32.6659,2000,2
Scenario5,3,57.6968,43.0691,2500,1
Scenario5,3,57.1594,41.149,2500,2
Scenario5,4,64.2722,62.1025,0,1
Scenario5,4,64.1946,62.0729,0,2
Scenario5,4,63.0447,60.4093,500,1
Scenario5,4,63.2281,61.1057,500,2
Scenario5,4,58.7115,49.3159,1000,1
Scenario5,4,60.8426,54.4747,1000,2
Scenario5,4,53.1836,33.6731,1500,1
Scenario5,4,57.3183,32.1701,1500,2
Scenario5,4,53.7855,35.4217,2000,1
Scenario5,4,53.9123,35.5512,2000,2
Scenario5,4,55.6893,41.9654,2500,1
Scenario5,4,55.2873,43.8411,2500,2
Scenario5,5,63.9832,61.1497,0,1
Scenario5,5,64.2158,61.9319,0,2
Scenario5,5,63.0532,60.5858,500,1
Scenario5,5,63.2909,61.1746,500,2
Scenario5,5,60.1806,55.8613,1000,1
Scenario5,5,61.5189,56.4482,1000,2
Scenario5,5,56.2332,42.1364,1500,1
Scenario5,5,60.6068,50.4157,1500,2
Scenario5,5,57.7566,45.9432,2000,1
Scenario5,5,57.5213,44.4654,2000,2
Scenario5,5,58.3266,48.5012,2500,1
Scenario5,5,57.6071,44.0598,2500,2
Scenario6,1,64.2639,62.117,0,1
Scenario6,1,64.3256,61.6963,0,2
Scenario6,1,63.1761,58.6637,500,1
Scenario6,1,63.372,59.1759,500,2
Scenario6,1,59.5167,46.8122,1000,1
Scenario6,1,61.052,48.6256,1000,2
Scenario6,1,60.0764,50.7262,1500,1
Scenario6,1,60.4823,49.6802,1500,2
Scenario6,1,60.6904,50.342,2000,1
Scenario6,1,60.7932,53.122,2000,2
Scenario6,1,61.4288,51.7236,2500,1
Scenario6,1,61.5766,54.8274,2500,2
Scenario6,1,61.1905,53.6113,3000,1
Scenario6,1,61.5561,54.3376,3000,2
Scenario6,1,56.5225,38.5294,3500,1
Scenario6,1,58.3975,40.8922,3500,2
Scenario6,1,57.7945,44.3114,4000,1
Scenario6,1,57.9581,46.6982,4000,2
Scenario6,1,59.0813,49.1445,4500,1
Scenario6,1,59.2023,51.4436,4500,2
Scenario6,2,64.1177,61.1194,0,1
Scenario6,2,64.0438,62.2861,0,2
Scenario6,2,63.2089,59.5992,500,1
Scenario6,2,62.9106,59.146,500,2
Scenario6,2,59.9852,51.827,1000,1
Scenario6,2,60.6467,52.3748,1000,2
Scenario6,2,60.6869,54.1283,1500,1
Scenario6,2,60.8934,57.3753,1500,2
Scenario6,2,61.3546,56.123,2000,1
Scenario6,2,61.2327,57.2584,2000,2
Scenario6,2,61.8693,57.9786,2500,1
Scenario6,2,61.9912,59.2626,2500,2
Scenario6,2,61.273,54.8485,3000,1
Scenario6,2,61.6185,55.4727,3000,2
Scenario6,2,55.8881,32.4335,3500,1
Scenario6,2,57.3995,35.6979,3500,2
Scenario6,2,57.4392,38.2454,4000,1
Scenario6,2,57.5148,37.8998,4000,2
Scenario6,2,59.0407,45.032,4500,1
Scenario6,2,59.1386,45.0894,4500,2
Scenario6,3,64.1892,61.1996,0,1
Scenario6,3,64.3696,62.2124,0,2
Scenario6,3,63.1183,60.4507,500,1
Scenario6,3,63.1311,59.7362,500,2
Scenario6,3,58.8619,45.8678,1000,1
Scenario6,3,60.1015,51.5381,1000,2
Scenario6,3,59.7984,47.3775,1500,1
Scenario6,3,60.1371,47.1759,1500,2
Scenario6,3,60.5535,50.6116,2000,1
Scenario6,3,60.2596,47.8778,2000,2
Scenario6,3,61.1907,52.7731,2500,1
Scenario6,3,61.2147,50.8938,2500,2
Scenario6,3,60.9714,54.5716,3000,1
Scenario6,3,61.7122,52.9996,3000,2
Scenario6,3,56.2525,42.1438,3500,1
Scenario6,3,57.8717,43.4293,3500,2
Scenario6,3,57.1694,44.0369,4000,1
Scenario6,3,57.4898,38.354,4000,2
Scenario6,3,58.7189,48.0178,4500,1
Scenario6,3,58.8987,46.3266,4500,2
Scenario6,4,64.2719,62.0967,0,1
Scenario6,4,64.1925,62.0576,0,2
Scenario6,4,62.9496,60.3882,500,1
Scenario6,4,63.058,60.8757,500,2
Scenario6,4,58.0283,49.5145,1000,1
Scenario6,4,58.8717,49.2275,1000,2
Scenario6,4,59.6396,50.209,1500,1
Scenario6,4,59.6167,44.8027,1500,2
Scenario6,4,60.6746,52.5156,2000,1
Scenario6,4,60.676,49.3524,2000,2
Scenario6,4,61.6338,54.6966,2500,1
Scenario6,4,61.6503,53.6447,2500,2
Scenario6,4,60.9781,53.6461,3000,1
Scenario6,4,61.092,55.2857,3000,2
Scenario6,4,55.9888,30.8278,3500,1
Scenario6,4,56.8331,29.2593,3500,2
Scenario6,4,57.6821,40.2603,4000,1
Scenario6,4,57.0832,40.1489,4000,2
Scenario6,4,58.9392,45.5054,4500,1
Scenario6,4,59.163,50.7615,4500,2
Scenario6,5,63.9839,61.1517,0,1
Scenario6,5,64.2106,61.8948,0,2
Scenario6,5,62.991,60.5855,500,1
Scenario6,5,63.2165,60.7265,500,2
Scenario6,5,59.4281,54.5617,1000,1
Scenario6,5,60.8073,54.9033,1000,2
Scenario6,5,60.5169,52.5795,1500,1
Scenario6,5,60.7223,54.4791,1500,2
Scenario6,5,61.0505,54.8399,2000,1
Scenario6,5,60.6977,54.8521,2000,2
Scenario6,5,61.4302,54.1287,2500,1
Scenario6,5,61.785,57.1758,2500,2
Scenario6,5,61.3493,52.9363,3000,1
Scenario6,5,61.8944,56.3061,3000,2
Scenario6,5,56.6548,31.4877,3500,1
Scenario6,5,58.2584,32.1571,3500,2
Scenario6,5,57.9959,37.4457,4000,1
Scenario6,5,58.5923,42.3746,4000,2
Scenario6,5,59.4834,46.563,4500,1
Scenario6,5,59.9469,50.2638,4500,2
Scenario7,1,64.3447,61.6487,0,1
Scenario7,1,64.4121,62.3968,0,2
Scenario7,1,63.3668,61.1018,500,1
Scenario7,1,63.3682,60.7259,500,2
Scenario7,1,60.3286,49.8984,1000,1
Scenario7,1,61.0023,55.3624,1000,2
Scenario7,1,55.4514,29.6899,1500,1
Scenario7,1,60.0264,32.3977,1500,2
Scenario7,1,57.4059,40.7546,2000,1
Scenario7,1,57.9964,44.1106,2000,2
Scenario7,1,58.2968,48.1291,2500,1
Scenario7,1,59.1507,48.3843,2500,2
Scenario7,2,64.0302,60.6925,0,1
Scenario7,2,64.0687,61.5538,0,2
Scenario7,2,63.2669,59.6695,500,1
Scenario7,2,63.0265,60.0151,500,2
Scenario7,2,60.0272,51.7035,1000,1
Scenario7,2,60.5258,51.8938,1000,2
Scenario7,2,55.1875,32.027,1500,1
Scenario7,2,59.5921,34.5813,1500,2
Scenario7,2,57.1378,40.1497,2000,1
Scenario7,2,58.1104,42.9785,2000,2
Scenario7,2,58.8084,44.3921,2500,1
Scenario7,2,59.4095,50.2536,2500,2
Scenario7,3,63.9784,61.2869,0,1
Scenario7,3,64.3929,62.295,0,2
Scenario7,3,62.9806,60.0118,500,1
Scenario7,3,63.3249,60.6178,500,2
Scenario7,3,59.8163,51.0981,1000,1
Scenario7,3,61.1522,52.4333,1000,2
Scenario7,3,55.253,42.1083,1500,1
Scenario7,3,59.8518,46.2877,1500,2
Scenario7,3,55.9456,45.1642,2000,1
Scenario7,3,57.6259,47.9782,2000,2
Scenario7,3,57.2905,46.3581,2500,1
Scenario7,3,57.9652,43.2302,2500,2
Scenario7,4,64.1252,61.9133,0,1
Scenario7,4,64.4677,62.4882,0,2
Scenario7,4,62.8321,58.3365,500,1
Scenario7,4,63.0649,59.1033,500,2
Scenario7,4,58.5723,49.7027,1000,1
Scenario7,4,59.4619,50.8596,1000,2
Scenario7,4,53.6951,27.8373,1500,1
Scenario7,4,58.4861,41.8915,1500,2
Scenario7,4,55.2867,38.5086,2000,1
Scenario7,4,56.6845,46.1843,2000,2
Scenario7,4,57.0776,45.2315,2500,1
Scenario7,4,58.6439,49.982,2500,2
Scenario7,5,63.9777,61.3369,0,1
Scenario7,5,64.4186,62.1591,0,2
Scenario7,5,63.0135,58.9599,500,1
Scenario7,5,63.3606,60.3886,500,2
Scenario7,5,59.6386,51.2049,1000,1
Scenario7,5,60.8314,50.2322,1000,2
Scenario7,5,54.4846,31.8553,1500,1
Scenario7,5,59.0513,42.7029,1500,2
Scenario7,5,55.9742,35.8452,2000,1
Scenario7,5,57.503,40.4616,2000,2
Scenario7,5,57.4316,44.6047,2500,1
Scenario7,5,58.9613,47.75,2500,2
Scenario8,1,64.3358,61.6569,0,1
Scenario8,1,64.4131,62.3918,0,2
Scenario8,1,63.2209,61.0397,500,1
Scenario8,1,63.2314,60.209,500,2
Scenario8,1,59.0971,48.7459,1000,1
Scenario8,1,59.762,52.6206,1000,2
Scenario8,1,60.0917,50.9146,1500,1
Scenario8,1,60.9569,57.9828,1500,2
Scenario8,1,60.9158,52.5653,2000,1
Scenario8,1,61.594,57.5364,2000,2
Scenario8,1,61.4452,54.372,2500,1
Scenario8,1,62.3777,58.3039,2500,2
Scenario8,1,60.4848,46.7498,3000,1
Scenario8,1,62.0004,56.5945,3000,2
Scenario8,1,55.2906,36.1927,3500,1
Scenario8,1,58.0403,38.9969,3500,2
Scenario8,1,57.0807,44.6353,4000,1
Scenario8,1,58.7962,49.6774,4000,2
Scenario8,1,58.7568,44.9702,4500,1
Scenario8,1,60.7242,52.689,4500,2
Scenario8,2,64.0236,60.6991,0,1
Scenario8,2,64.0616,61.5414,0,2
Scenario8,2,63.0783,55.5562,500,1
Scenario8,2,62.8313,59.6114,500,2
Scenario8,2,59.0211,42.6583,1000,1
Scenario8,2,59.4406,42.3231,1000,2
Scenario8,2,60.3204,50.2065,1500,1
Scenario8,2,61.1659,54.0487,1500,2
Scenario8,2,61.3014,52.8717,2000,1
Scenario8,2,61.8548,57.0304,2000,2
Scenario8,2,61.9977,55.0667,2500,1
Scenario8,2,62.7734,60.2917,2500,2
Scenario8,2,60.6809,46.3346,3000,1
Scenario8,2,62.1628,58.3148,3000,2
Scenario8,2,54.6331,35.259,3500,1
Scenario8,2,57.319,40.5503,3500,2
Scenario8,2,57.2773,44.0711,4000,1
Scenario8,2,58.8405,46.7502,4000,2
Scenario8,2,59.3664,49.2947,4500,1
